# reef_id, area_km2, sand_propotion, shelf_position

# reef_id
# The reef IDs here are the standard used throughout the RME and
# must be the same as in all the other data files used.
# If reef IDs do not match up across files the RME will not run.
# The order here is also important since this must match the
# connectivity matrix files that do not have reef IDs embedded.
# Note that some alternate lists of reef IDs are circulating
# that have five reefs renamed as follows:
# used in RME   alternate
# 10-441        11-325
# 11-288        11-244e
# 11-303        11-244f
# 11-310        11-244g
# 11-311        11-244h
# These are just renamings as can be seen on a map of GBR.
# 10-441 is between two groups with IDs 10-44x and 11-32x,
# alternate ID 11-325 just makes it part of the other group.
# Alternate IDs 11-244e,f,g,h brings four unnamed reefs into
# "Great Detatched Reef" group which they are clearly part of.
# The alternate IDs are likely a newer revision, but currently
# the RME uses the orignal (legacy) reef IDs.
# Additionally a error has been propagated through many files
# where the reef id listed here as "20-198" is listed as "20198".
# Note the RME is case-insensitive to letters in the reef IDs.
# They can be upper or lower case when specified, when reported
# they are upper-case.

# area_km2
# The area of the reef in square kilometres.

# sand_proportion
# Proportion of reef which is non-grazable (sand)
# as a proportion (range 0 to 1).

# shelf_position
# The location of the reef on the continental shelf:
# 1 = inshore
# 2 = midshelf
# 3 = offshore

# This file was updated on Thu 30 Mar 12:07:21 BST 2023

10-415,2.394090116,0.226072887,2
10-416a,0.455117866,0.321609826,3
10-416b,7.605058981,0.288398653,3
10-417,4.862763297,0.228270311,2
10-418a,7.551730281,0.304725953,3
10-418b,5.116813791,0.322334283,3
10-419a,3.918186983,0.29794409,3
10-419b,0.967071101,0.285418819,3
10-420,4.41432046,0.298203912,3
10-421,0.024039276,0.237745432,2
10-422,0.024120062,0.237745435,2
10-423,0.1699603,0.228214562,2
10-424,0.124397486,0.228214562,2
10-425,0.414360628,0.228214562,2
11-034,14.45534497,0.243959655,1
11-001,2.070140407,0.245258734,1
11-002,0.328990619,0.273867268,1
11-003,5.999270715,0.273867268,1
11-004,0.005901272,0.267195324,1
11-005,0.003440408,0.273867268,1
11-006,0.005304255,0.267193462,1
11-007,0.005734193,0.267196459,1
11-008,0.270992524,0.273867268,1
11-009,5.884395495,0.273465963,1
11-010,5.713126222,0.272876269,1
11-011a,0.003538822,0.267195263,1
11-011b,0.003067243,0.267197527,1
11-012,1.850718833,0.273867268,1
11-013,3.286391099,0.268967349,1
11-014,0.005885766,0.267194494,1
11-015,1.76677782,0.273867268,1
11-016,6.783677574,0.224326669,2
11-017,0.453367671,0.228214562,2
11-018,0.127782595,0.228214562,2
